source_name,source_type,title,link,published,fetched_at,domain
GNews,rss,Berita Terkini Harian Delpedro Marhaen Terbaru Hari Ini - Kompas.com,https://news.google.com/rss/articles/CBMiVkFVX3lxTE1WQ2l4MkNOeVFHRXAtNm1zNWszdEhBVDJlV2p3cHRySWJWa29DLWRzZlJrUTVEV21lUzByZENKb3EwaFhZUHhnQUo1VXpQSWJOLWhIOVBB?oc=5,2025-09-02 09:34:02 +0700,2025-09-03 22:21:58 +0700,news.google.com
GNews,rss,"Demo Jakarta Hari Ini, Ini 7 Titik Demo 2 September 2025 - Kompas.com",https://news.google.com/rss/articles/CBMirgFBVV95cUxQV01aSENnd0VxeDJiQmNieGVld0xCVkc3Mk44ZDlpb3AzVHdWMTU4WkZHZGlsdVpfRFN0OG8xdmM1MnlMa2wwUWt5eXpQVllteTJwRndKMFdjQzRfMy1GZ0U1cURpZF9SMWg2bTE3cTY2elF6aXBpU05paHdiVTVWSkZTRDFGRTFzUlhCZW53dlhBdDI1Sl9oekFITldyUzVjTHQ4eWw4ZWh4QlNMV0E?oc=5,2025-09-02 09:30:00 +0700,2025-09-03 22:21:58 +0700,news.google.com
GNews,rss,Poin-poin Lengkap 17+8 Tuntutan Rakyat untuk Pemerintahan Prabowo - CNN Indonesia,https://news.google.com/rss/articles/CBMiyAFBVV95cUxOMmxWMU1pZU16bVdRWUlOVEpzamdEZDhQLTRTN0dXWnE4UTVMRjI0SWNqSFZVMk9zclZNN0p6LWZ1Q3hjVkxBUFRWTlRnS094cXRwb1V5bW9zZ2RmTmMySFd2VU80SlZnd3VmZHBGZGpybFFQQnhhem1SWGRkYjY0c3B5RGlxbnFWN3hKQnlRbnVIM1J6dE9pWktveThvVE5WdUpmRmFYczBfTnFwQkhFYzdtYzFmT05Vc1Rxc1lac3ByQllTZEEzMdIBzgFBVV95cUxOMEVLbkUzS3BtNjFQcjZXSG90MHlrMVg5bEdzNzhNNDdjZXhJdEE2WnJyU24tQ3lxM0lhRTBUOGxyMDZfd2VWZnl5RTBvOEs5VDJpZTNtSHRWbW9nMnAxUzZXNUN5OWF6eXYyQURGWVZ5bE5PQkFrakxGb3dWem5OSkF0YXdhQkp6TFdtcmRHaDFPVVpLcWFnMVg0TUlOMFBzRmtrY1FoTGQ3ZXNoMmlUWlE1ZWFsNVpXSUxwX245UjhmLVFWNmNSVXNLbDZlUQ?oc=5,2025-09-02 09:26:24 +0700,2025-09-03 22:21:58 +0700,news.google.com
GNews,rss,Honda Khawatir Aksi Anarkis Berdampak ke Penjualan Kendaraan - CNN Indonesia,https://news.google.com/rss/articles/CBMiwwFBVV95cUxOZGVFRnREbzQ0VGgzSl9rdnc4NjRHYTRrQnlIdzV5TXpYYVdTeEMtUFUtakV1d2dtUDhkeG9xX3ZQb3ZDck5KMDRiQ21WTDBqbWFSamItRlVobWg5c09pakU2d3dRVmdhOUNlMWtCeDk1VVlsb1pLcWk1NG1lLWRLX0p0WERCVUY4M2E1a0hpSWdTenBBRDZRdlFSUXcyaW5feDZDUWNPR3B2MXo3cDQ0RG5ZZlI4ODZybUtfV1hib29FN2vSAcgBQVVfeXFMTmRtRmlaRWtoaldoSWdFRDc5TUgyZVMtcl9rR3F4SDRZY0tJanAzLWE5bmJKSHVDSml6Q09oUkdBQUJ6RERrOFBSTG5xX3FLTU1UWnZxVFZwQU5vTDQ1SWw5QURNZWw3Qkp2WlJxYXdOVUVUN0NUTzZycUpncXc3Zm5wSnJBSUtRNkp1Y0xTcDBDci12ZDBDVUdLU3lzWkZWVVZGcWdvQ1UxNDA1RmNwaVhHUWxIaG5vRHNvaWU2enZsV3BoeHB0OHk?oc=5,2025-09-02 09:21:20 +0700,2025-09-03 22:21:58 +0700,news.google.com
CNNI Ekonomi,rss,Rupiah Merosot ke Rp16.436 di Tengah Kondisi Belum Kondusif,https://www.cnnindonesia.com/ekonomi/20250902091521-78-1269109/rupiah-merosot-ke-rp16436-di-tengah-kondisi-belum-kondusif,2025-09-02 09:21:09 +0700,2025-09-03 22:21:58 +0700,cnnindonesia.com
GNews,rss,Rupiah Merosot ke Rp16.436 di Tengah Kondisi Belum Kondusif - CNN Indonesia,https://news.google.com/rss/articles/CBMivgFBVV95cUxOck8zdEI3dm94dnN4NnBXSDVBeXJFSHF6T2piTkJ3eENqVjc4ODlsYl84aDQ4bmo0eDNlS2c3clpBR1AxWGUxMEg4YmVIYXNwVGJ0a3dSVTJkUXJYZ2dQd1BHLUlKNVFfN1YtVVVIeHRBTkRVQ0lseXhWYk05X1pwcGl1UGYtMmRDaTRBSHpaTzJTb0tTN1hXRzh5eGR5OGplby16MUNhTkRURzFaakZ0RzhnXzlQRXBMZ05PNHRn0gHDAUFVX3lxTE12R0RyMmpyck5NalpveWc0TEVPNGpmSHB5R1JMcmNETWJMRUJTdDVFOTBhSEk4TWRTZGU3dFVGYnRuZ3NZZWdJSFFrV3VaUUpFeTZaWlRYNXVGcE01a3FtOW9CdVhxWlJpUDQ2SnFTVXpLMlZXblpqb0ExV1FLXzYxZzdnUWZyVW1JZlY4b3BuS19nMHc4TlVrcXloRFNNVXVnd1ZhRk92TVRDX2R6YXFwbUZPUTlhR19jTGkzTWxrS01WNA?oc=5,2025-09-02 09:21:09 +0700,2025-09-03 22:21:58 +0700,news.google.com
GNews,rss,Fakta-fakta Demo 1 September di DPR - Tempo.co,https://news.google.com/rss/articles/CBMifEFVX3lxTFBFX2llbWNZZHVUeTVBaTJ4bmFYSlBQR1FTOVVKMjBXa0UwWm1qa0ZsVTM5cy1oMGRXMXZOb1Y3S1ZESERsWnh0UW1GcWhlNXFuQWxIcGloWmpmOEY1ZkNUOUg0U3ZpSkdlNEZHM1BMOVZrVnUzcVYxV21la0Q?oc=5,2025-09-02 09:20:13 +0700,2025-09-03 22:21:58 +0700,news.google.com
GNews,rss,"Kesaksian Kampus Unpas Diberondong Gas Air Mata, 12 Orang Pingsan - CNN Indonesia",https://news.google.com/rss/articles/CBMixwFBVV95cUxPbmwtRk5IQVlsNmVqaVJxVk9JbFhkam5JcWozaVB0NVg2Qy1LbHZ6MW5vQ0p0bW5Tci1XVk42Q194UXlIR1Bnbm1MTnZpUzliQWxtLVc2Sl9EZVpXUGFROHk3VTZlOVhtbV92U1FsOEtQdElGOWRNbTRaSFBZOFVLZS1ZRzFUVEZKV1A5MUxRbXMyb3NWaGlobFJlX2hsX1FmWXR1ZkxEcC14V1hGTFg0MTRTR3J1UUFuam1tU2xtdk9MYVpCNGs00gHMAUFVX3lxTE12VWgwNFJlUVJtQjliN0JUa2ZKaHB3RGVwaExYQ2djaTU1Z3FOSnp3Nmc4dTRyWEdIbnJXaUJZcV96M1REN3hsVkVIQndOV1JvNF8xSkgxeHFON1ItREFJcUMxWkFfeWx2LVZXbzJCYkVQS21IaFc0T05NdS1EdGVIa2xRVnVNWldvNEMzcFo4bHluWTZTVFozYTBfUVVKVmxtQUxuVWw3VTZXdzFkclI5YzR5N3dBeU5PdGI3al9lTXlpRW0zOHNQTzZnQQ?oc=5,2025-09-02 09:09:27 +0700,2025-09-03 22:21:58 +0700,news.google.com
GNews,rss,Tim Media Service - Tirto.id,https://news.google.com/rss/articles/CBMiX0FVX3lxTE5ZNE8tVlFoRVo0azEyZjN0SEVERV95WHBaSzNicVlZS3FUVmNJdDREMTB4cWxGZ2dmRDhIYWZCWjYwdlRVM3VDMjduSmRPeHQ4cVBhSXd2T0xKM2w3R2hz?oc=5,2025-09-02 09:08:05 +0700,2025-09-03 22:21:58 +0700,news.google.com
GNews,rss,Tim Media Service - Tirto.id,https://news.google.com/rss/articles/CBMiX0FVX3lxTFBNcTJnR0dobEctSXVTUTdPeVpSWmNLQ2RrS1BxOEdCUHVDT0QtbWVkSHNMTXRROXFjTXFPcDFqZnNXSUNoRnhGSEhsT1pBdFB0UmRTR00zS1FpUmZmell3?oc=5,2025-09-02 09:03:30 +0700,2025-09-03 22:21:58 +0700,news.google.com
